run_acc	sample_type	sample_subtype	organism	gold
SRR5259832	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116038
SRR5259833	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116037
SRR5259834	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116036
SRR5259835	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116043
SRR5259836	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116040
SRR5259837	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116041
SRR5259838	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116044
SRR5259839	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116042
SRR5259938	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116045
SRR5259939	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116046
SRR5259940	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116047
SRR5260067	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116048
SRR5260068	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116053
SRR5260069	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116054
SRR5260070	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116051
SRR5260071	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116049
SRR5260072	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116050
SRR5260073	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116052
SRR5260182	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116058
SRR5260183	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116055
SRR5260184	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116056
SRR5260185	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116060
SRR5260186	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116061
SRR5260187	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116057
SRR5260188	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116059
SRR5260217	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116062
SRR5260272	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116064
SRR5260273	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116063
SRR5260274	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116066
SRR5260275	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116065
SRR5269546	Rhizosphere	Rhizosphere	Arabidopsis thaliana	https://gold.jgi.doe.gov/project?id=Gp0089067
SRR5269726	Rhizosphere	Rhizosphere	Arabidopsis thaliana	https://gold.jgi.doe.gov/project?id=Gp0089069
SRR5270116	Rhizosphere	Rhizosphere	Arabidopsis thaliana	https://gold.jgi.doe.gov/project?id=Gp0089068
SRR5451359	Rhizosphere	Rhizosphere	Switchgrass	https://gold.jgi.doe.gov/project?id=Gp0111714
SRR5451372	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0111726
SRR5451373	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0111726
SRR5451374	Rhizosphere	Rhizosphere	Maize	https://gold.jgi.doe.gov/project?id=Gp0112755
SRR5451376	Rhizosphere	Rhizosphere	Maize	https://gold.jgi.doe.gov/project?id=Gp0112756
SRR5451422	Rhizosphere	Rhizosphere	Maize	https://gold.jgi.doe.gov/project?id=Gp0112757
SRR5451449	Rhizosphere	Rhizosphere	Maize	https://gold.jgi.doe.gov/project?id=Gp0112758
SRR5451450	Rhizosphere	Rhizosphere	Maize	https://gold.jgi.doe.gov/project?id=Gp0112760
SRR5451451	Rhizosphere	Rhizosphere	Maize	https://gold.jgi.doe.gov/project?id=Gp0112759
SRR5451458	Rhizosphere	Rhizosphere	Maize	https://gold.jgi.doe.gov/project?id=Gp0112761
SRR5451461	Rhizosphere	Rhizosphere	Switchgrass	https://gold.jgi.doe.gov/project?id=Gp0112762
SRR5451564	Rhizosphere	Rhizosphere	Switchgrass	https://gold.jgi.doe.gov/project?id=Gp0112764
SRR5451578	Rhizosphere	Rhizosphere	Switchgrass	https://gold.jgi.doe.gov/project?id=Gp0112767
SRR5451581	Rhizosphere	Rhizosphere	Switchgrass	https://gold.jgi.doe.gov/project?id=Gp0112765
SRR5451585	Rhizosphere	Rhizosphere	Switchgrass	https://gold.jgi.doe.gov/project?id=Gp0112766
SRR5451590	Rhizosphere	Rhizosphere	Switchgrass	https://gold.jgi.doe.gov/project?id=Gp0112768
SRR5451657	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0112770
SRR5451658	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0112769
SRR5451659	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0112771
